,corp_code,ceo_nm
0,434003,김상규
1,434456,이광선
2,430964,정진형
3,432403,정우석
4,388953,배경오
5,179984,이연우
6,420143,Robert J. Therrien
7,401111,김정실
8,435534,임장순
9,430186,김지홍
10,430201,김지홍
11,430210,김지홍
12,430229,김재호
13,140432,김계화
14,426208,이의륭
15,433262,강병주
16,433749,박철규
17,433785,김원경
18,196079,박진규
19,435048,권호진
20,435057,김동각
21,108843,이유로
22,443232,서길현
23,248293,남인근
24,455662,김진성
25,149318,임민석
26,451347,김필종
27,415105,조민자
28,420824,문은주
29,389439,이순임
30,454016,강명필
31,452072,박영모
32,437602,이덕일
33,365518,이중삼
34,246967,이원규
35,445559,박태안
36,445559,김우경
38,444657,김규환
39,448936,이정흠
40,405658,방극균
41,410818,김대규
42,416061,최정한
43,448909,진서용
44,445407,이제형
45,421647,이정직
46,421425,Alan Corkish
47,423265,송영구
48,423292,제이슨에이치리
49,420602,권희정
50,307505,ONG CHEE WEI
51,218229,이상순
52,241397,김만기
53,421896,박영국
54,365712,김호섭
55,388616,김영희
56,230407,정태영
57,423566,김진환
58,423274,기노시타야스히로
59,419688,전경묵
60,419712,김완철
61,414665,조병갑
62,421869,정인철
63,421957,한은경
64,255442,신현경
65,427517,김명덕
66,376152,표철민
67,382241,LINDSAY COOPER
68,431501,LOW JEE FUN
69,434270,배재규
70,434289,박형렬
71,434298,김영준
72,434313,정승욱
73,434322,선형렬
74,429463,김우협
75,429515,김호림
76,432175,고영준
77,387033,김선희
78,384045,유종규
79,431608,S. Dhanabalan
80,431705,박선행
81,430256,김혜경
82,431167,김상진
83,432315,이종웅
84,413134,한정우
85,435376,이충재
86,110909,이선호
87,245995,최영좌
88,220695,심상기
89,211794,임동신
90,454496,송만상
91,455592,윤영성
92,370796,이종용
93,199401,한기주
94,369596,천석우
95,210078,김수근
96,363398,윤경완
97,110042,송남길
98,364324,이영조
99,248017,송양형
100,452179,이윤석
101,413754,유병재
102,343163,김종섭
103,452513,남길현
104,435978,김기옥
105,368153,신상복
106,455149,강대연
107,249946,함상우
108,110839,박병명
109,293798,이봉순
110,113119,이수일
111,113119,앤드류데슐터스
113,424389,서영삼
114,424486,유지영
115,224734,전홍규
116,197713,이주섭
117,421948,전진근
118,422381,박미경
119,350446,윤경원
120,396642,허승조
121,425449,박경영
122,425458,홍미애
123,425333,나광윤
124,424617,김태은
125,424006,서만옥
126,424051,한홍규
127,403599,이승훈
