,기업코드,회차,등록일,수익(매출액),영업이익(손실),당기순이익(손실)
0,956028,제 16 기,20180420,24347218 ,120381 ,-1629679 
1,1165739,제 3 기,20180430,,-3982045 ,-13864646 
2,171636,제 53 기,20180402,,14952676720 ,-143685542254 
3,147772,제 49 기,20180330,,,
4,273110,제 29 기,20180402,,-8455346598 ,-10797600612 
5,159500,제 55 기,20180402,,,
6,105466,제 29 기,20180402,,,22483322690 
7,347716,제 19 기,20180402,,283563642 ,622165934 
8,112165,제 42 기,20180402,,,
9,103510,제 40 기,20180402,,,
10,186799,제 31 기,20180402,304366834330 ,-4358335709 ,-5959038912 
11,113535,제 51 기,20180402,726762508897 ,80077990914 ,43750961258 
12,995993,제 17 기,20200428,,-3249190855 ,-3742998288 
13,140131,제 31 기,20180330,11903648808 ,-92954478 ,-2198731453 
14,128980,제 42 기,20180330,262874513071 ,,23020713734 
15,390365,제 20 기,20180402,523988615013 ,19366097053 ,13300368767 
16,141273,제 43 기,20181213,32026433759 ,-6118977846 ,-22444779364 
17,126380,제 49 기,20180402,,,28800837000000 
18,293886,제 32 기,20180402,208197354362 ,17140209710 ,12101616391 
19,134723,제 65 기,20180402,242063629649 ,-42915944537 ,-115772529621 
20,208444,제 28 기,20180330,251543817128 ,55838198694 ,39981917851 
21,145686,제 69 기,20180329,,,-771254676 
22,526836,제 16 기,20180330,,3262388183 ,2728426100 
23,225159,제 36 기,20180314,,5401908983 ,4172418880 
24,1110076,제 3 기,20180402,,-334334188 ,-302658394 
25,139685,제 38 기,20170928,,3816398302 ,3579596437 
26,120872,제 65 기,20170928,211061714978 ,2779510368 ,4001142615 
27,587457,제 24 기,20180614,69122271361 ,6479989919 ,4636625455 
28,138446,제 39 기,20180402,,-1019917686 ,-4481117406 
29,150165,제 32 기,20180402,40265013693 ,-8374219890 ,-16806250810 
30,540641,제 13 기,20180402,,,4282266713 
31,203315,제 31 기,20180402,34806606299 ,1814387946 ,2407402325 
32,125965,제 30 기,20180402,47157689506 ,2507504111 ,2813224648 
33,815369,제 8 기,20180402,,,
34,440712,제 20 기,20180803,10064001072 ,-3470731131 ,-9799764719 
35,102113,제 41 기,20180330,193975817754 ,159204046 ,531272719 
36,569646,제 14 기,20181130,,-363716281 ,-4736508408 
37,127158,제 51 기,20180402,8679567890 ,-4510689257 ,-11269569570 
38,192499,제 27 기,20180404,,16735236497 ,9410114739 
39,204208,제 33 기,20180330,,116682684 ,-14676857818 
40,418379,제 19 기,20180604,,-3949317630 ,-5674524151 
41,153375,제 36 기,20180330,184151389022 ,4496693337 ,-16226021493 
42,674498,제 18 기,20180402,23499543242 ,-6824299640 ,-21778627769 
43,124726,제 52 기,20180402,,,
44,393469,제 31 기,20191108,4347267624 ,-2862132207 ,-7298649267 
45,149804,제 63 기,20180406,,11586362923 ,4588701681 
46,305297,제 31 기,20180329,327482315838 ,33444127318 ,21709681454 
47,910840,제 7 기,20180330,,4691638399 ,3868482925 
48,617998,제 26 기,20180402,45390976927 ,1333410048 ,-36940029 
49,453929,제 18 기,20180824,42249904553 ,-2381294180 ,-1319215854 
50,121969,제 47 기,20180330,,1170987645 ,-6470772401 
