,기업코드,회차,등록일,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금(결손금),자본총계
0,956028,제 16 기,20180420,23053799 ,55270950 ,78324749 ,15314213 ,11512077 ,26826290 ,1366450 ,17919915 ,51498459 
1,1165739,제 3 기,20180430,39187249 ,27230058 ,66417307 ,11385513 ,0 ,11385513 ,4966967 ,-13005260 ,55031794 
2,171636,제 53 기,20180402,8656683896 ,452754909587 ,461411593483 ,9105276838 ,22038461788 ,31143738626 ,231799355000 ,81399817430 ,430267854857 
3,147772,제 49 기,20180330,,,62899736059 ,,,28140205074 ,,,34759530985 
4,273110,제 29 기,20180402,11484849985 ,24192533734 ,35677383719 ,2063068823 ,5250465188 ,7313534011 ,13303870000 ,-10775638709 ,28363849708 
5,159500,제 55 기,20180402,93977947500 ,136820743192 ,230798690692 ,76077411069 ,40337889907 ,116415300976 ,5475000000 ,,114383389716 
6,105466,제 29 기,20180402,682207183358 ,259475957580 ,941683140938 ,434557205516 ,168853599677 ,603410805193 ,107000000000 ,,338272335745 
7,347716,제 19 기,20180402,13130043454 ,11248989425 ,24379032879 ,9500585037 ,1409592117 ,10910177154 ,10493313500 ,-4623660041 ,13468855725 
8,112165,제 42 기,20180402,189557406829 ,349216102055 ,538773508884 ,294703583409 ,97564190543 ,392267773952 ,11233705000 ,70911252555 ,146505734932 
9,103510,제 40 기,20180402,114185760792 ,196632294458 ,310818055250 ,138650202421 ,24074894232 ,162725096653 ,7580064000 ,,148092958597 
10,186799,제 31 기,20180402,373811620496 ,627806281045 ,1001617901541 ,74019724925 ,298851680647 ,372871405572 ,10003690500 ,402069865187 ,628746495969 
11,113535,제 51 기,20180402,241236436666 ,1754263926021 ,1995500362687 ,400695490577 ,1015917103709 ,1416612594286 ,122132520000 ,47972785326 ,578887768401 
12,995993,제 17 기,20200428,38406926946 ,18568488274 ,56975415220 ,1421158220 ,25761359818 ,27182518038 ,3032436000 ,-5952109711 ,29792897182 
13,140131,제 31 기,20180330,10238249887 ,9035136099 ,19273385986 ,2116189659 ,60093054 ,2176282713 ,7916274500 ,6710863759 ,17097103273 
14,128980,제 42 기,20180330,138923390445 ,120203964249 ,259127354694 ,82629721853 ,5711745758 ,88341467611 ,12500000000 ,135357934193 ,170785887083 
15,390365,제 20 기,20180402,161597465439 ,81108596172 ,242706061611 ,72282415282 ,218474396 ,72500889678 ,8358529000 ,124092224806 ,170205171933 
16,141273,제 43 기,20181213,33323148392 ,38165945434 ,71489093826 ,47690960997 ,1179152344 ,48870113341 ,7624942000 ,-49064896928 ,22618980485 
17,126380,제 49 기,20180402,70155189000000 ,128086171000000 ,198241360000000 ,44495084000000 ,2176501000000 ,46671585000000 ,897514000000 ,150928724000000 ,151569775000000 
18,293886,제 32 기,20180402,74845039310 ,109620849551 ,184465888861 ,81838568388 ,4385120816 ,86223689204 ,8179320500 ,48185275771 ,98242199657 
19,134723,제 65 기,20180402,244451492503 ,228597585934 ,473049078437 ,210694269448 ,187200704797 ,397894974245 ,27108328500 ,-103510722064 ,75154104192 
20,208444,제 28 기,20180330,185460306294 ,87069401503 ,272529707797 ,38261093353 ,4083883824 ,42344977177 ,10165802000 ,186112943153 ,230184730620 
21,145686,제 69 기,20180329,38226863279 ,63047945871 ,101274809150 ,34077566702 ,847183825 ,34924750527 ,14000000000 ,35720074935 ,66350058623 
22,526836,제 16 기,20180330,91054392370 ,152174566114 ,243228958484 ,81706267952 ,10603207349 ,92309475301 ,11644766500 ,78133829317 ,150919483183 
23,225159,제 36 기,20180314,98229088112 ,327206334464 ,425435422576 ,299279307 ,,299279307 ,8115052500 ,315328592335 ,425136143269 
24,1110076,제 3 기,20180402,4790062408 ,16891398142 ,21681460550 ,12119187653 ,731246254 ,12850433907 ,905752000 ,-50445721 ,8831026643 
25,139685,제 38 기,20170928,18002601958 ,64378638436 ,82381240394 ,15669243754 ,1736942682 ,17406186436 ,7990000000 ,,64975053958 
26,120872,제 65 기,20170928,145918081037 ,99506618512 ,245424699549 ,16082705354 ,3916491506 ,19999196860 ,4150000000 ,112299864910 ,225425502689 
27,587457,제 24 기,20180614,154849074500 ,28558642984 ,183407717484 ,109165240070 ,8898710000 ,118063950070 ,17414919000 ,7731788583 ,65343767414 
28,138446,제 39 기,20180402,84736038888 ,124874907204 ,209610946092 ,14779154475 ,27780247670 ,42559402145 ,16443768000 ,,167051543947 
29,150165,제 32 기,20180402,13456501786 ,43311847032 ,56768348818 ,24408458502 ,6234538423 ,30642996925 ,10739017000 ,-16896209575 ,26125351893 
30,540641,제 13 기,20180402,25191506452 ,185985807983 ,211177314435 ,62167522593 ,23419900890 ,85587423483 ,13762255000 ,64900731074 ,125589890952 
31,203315,제 31 기,20180402,55998485580 ,321323796843 ,377322282423 ,117272498280 ,17302485372 ,134574983652 ,57034491000 ,9733837326 ,242747298771 
32,125965,제 30 기,20180402,69674454233 ,17805373754 ,87479827987 ,4791167772 ,30000000 ,4821167772 ,4750000000 ,60542443259 ,82658660215 
33,815369,제 8 기,20180402,75648924213 ,81932052109 ,157580976322 ,16435613304 ,3254669772 ,19690283076 ,,,137890693246 
34,440712,제 20 기,20180803,9994557842 ,16878506172 ,26873064014 ,3161942764 ,352703098 ,3514645862 ,4612684500 ,-9740379537 ,23358418152 
35,102113,제 41 기,20180330,125062665559 ,171846418665 ,296909084224 ,93894859887 ,12170122056 ,106064981943 ,20198182500 ,133022973708 ,190844102281 
36,569646,제 14 기,20181130,132841859914 ,29311618290 ,162153478204 ,111495057457 ,15523354000 ,127018411457 ,6092233000 ,17754835580 ,35135066747 
37,127158,제 51 기,20180402,7755325906 ,23571481428 ,31326807334 ,5349423478 ,5303964133 ,10653387611 ,22393769000 ,-23182751424 ,20673419723 
38,192499,제 27 기,20180404,183223905177 ,213908208572 ,397132113749 ,197488663660 ,24778281469 ,222266945129 ,45974044500 ,94558807846 ,174865168620 
39,204208,제 33 기,20180330,41229717740 ,180583250091 ,221812967831 ,99495383642 ,31242466850 ,130737850492 ,58362738500 ,-18691777130 ,91075117339 
40,418379,제 19 기,20180604,29005054557 ,11802722695 ,40807777252 ,11356771361 ,1041999230 ,12398770591 ,16974678500 ,-15751601367 ,28409006661 
41,153375,제 36 기,20180330,275317796143 ,178692544057 ,454010340200 ,28685098542 ,6153817222 ,34838915764 ,13250000000 ,384741034743 ,419171424436 
42,674498,제 18 기,20180402,46961353448 ,489283418919 ,536244772367 ,37343445115 ,18826864444 ,56170309559 ,21418409000 ,169570716352 ,480074462808 
43,124726,제 52 기,20180402,355056895467 ,277172412234 ,632229307701 ,93174725619 ,12953310577 ,106128036196 ,49756205000 ,,526101271505 
44,393469,제 31 기,20191108,9231384072 ,65424494041 ,74655878113 ,33354679342 ,137500 ,33354816842 ,5289936000 ,-12065889009 ,41301061271 
45,149804,제 63 기,20180406,84536097353 ,274664322986 ,359200420339 ,224471567348 ,14617565837 ,239089133185 ,49689816000 ,,120111287154 
46,305297,제 31 기,20180329,248312128651 ,53607248134 ,301919376785 ,37222203410 ,3312463727 ,40534667137 ,7787276000 ,183838119692 ,261384709648 
47,910840,제 7 기,20180330,49964605589 ,52801454683 ,102766060272 ,26217081958 ,24681584904 ,50898666862 ,4931544500 ,30445277596 ,51867393410 
48,617998,제 26 기,20180402,23998854166 ,13986440250 ,37985294416 ,13636548697 ,2016000000 ,15652548697 ,1816500000 ,16543645719 ,22332745719 
49,453929,제 18 기,20180824,45333538662 ,101585191003 ,146918729665 ,5173057539 ,34899815902 ,40072873441 ,3929210500 ,-27483265609 ,106845856224 
50,121969,제 47 기,20180330,24452058715 ,68702809946 ,93154868661 ,56522499050 ,2600254541 ,59122753591 ,5481961500 ,-6845226957 ,34032115070 
51,136402,제 48 기,20180402,10476891989 ,143108795728 ,153585687717 ,169801605 ,21406181039 ,21575982644 ,5914429000 ,57992351080 ,132009705073 
52,482426,제 19 기,20180330,70393509975 ,123195311808 ,193588821783 ,71420250550 ,1770199982 ,73190450532 ,4665852500 ,70643720518 ,120398371251 
53,132318,제 38 기,20180511,226531644309 ,242682748933 ,469214393242 ,20472136175 ,11807239510 ,32279375685 ,14300000000 ,,436935017557 
54,620558,제 14 기,20180330,63736654346 ,78956295852 ,142692950198 ,42014312741 ,6007532789 ,48021845530 ,36894322500 ,41226823085 ,94671104668 
55,360142,제 18 기,20180330,582763933339 ,156041674497 ,738805607836 ,358407905559 ,0 ,358407905559 ,18166670000 ,251654366356 ,380397702277 
56,108977,제 49 기,20180330,55571512527 ,416271522338 ,471843034865 ,91058496558 ,29504859641 ,120563356199 ,54129465000 ,231194258232 ,351279678666 
57,110608,제 54 기,20180330,95691506955 ,98756628835 ,194448135790 ,56534807067 ,406828444 ,56941635511 ,8000000000 ,114038820023 ,137506500279 
58,100601,제 43 기,20180402,66557787965 ,21223628476 ,87781416441 ,36681992542 ,3982403996 ,40664396538 ,7626515000 ,23551833834 ,47117019903 
59,157681,제 54 기,20180402,694929462673 ,887545346001 ,1582474808674 ,353560654271 ,94032794637 ,447593448908 ,129000000000 ,,1134881359766 
60,351630,제 29 기,20180330,135373825554 ,167046425335 ,302420250889 ,123216999501 ,42546561324 ,165763560825 ,5462959000 ,104067129700 ,136656690064 
61,666064,제 19 기,20180330,14025596447 ,53466594769 ,67492191216 ,10247888309 ,13946660186 ,24194548495 ,11027972500 ,-4965483770 ,43297642721 
62,1047451,제 4 기,20180330,22965020343 ,33030209938 ,55995230281 ,21291207826 ,5884997048 ,27176204874 ,6573535500 ,3705907675 ,28819025407 
63,117300,제 60 기,20180330,101914013982 ,146982223242 ,248896237224 ,148607324041 ,10661867726 ,159269191767 ,22342500000 ,53415886045 ,89627045457 
