,Unnamed: 0,기업코드,회차,등록일,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금(결손금),자본총계
0,0,00956028,제 16 기,20180420,23053799.0,55270950.0,78324749.0,15314213.0,11512077.0,26826290.0,1366450.0,17919915.0,51498459.0
1,1,01165739,제 3 기,20180430,39187249.0,27230058.0,66417307.0,11385513.0,0.0,11385513.0,4966967.0,-13005260.0,55031794.0
2,2,00171636,제 53 기,20180402,8656683896.0,452754909587.0,461411593483.0,9105276838.0,22038461788.0,31143738626.0,231799355000.0,81399817430.0,430267854857.0
3,3,00147772,제 49 기,20180330,,,62899736059.0,,,28140205074.0,,,34759530985.0
4,4,00273110,제 29 기,20180402,11484849985.0,24192533734.0,35677383719.0,2063068823.0,5250465188.0,7313534011.0,13303870000.0,-10775638709.0,28363849708.0
5,5,00159500,제 55 기,20180402,93977947500.0,136820743192.0,230798690692.0,76077411069.0,40337889907.0,116415300976.0,5475000000.0,,114383389716.0
6,6,00105466,제 29 기,20180402,682207183358.0,259475957580.0,941683140938.0,434557205516.0,168853599677.0,603410805193.0,107000000000.0,,338272335745.0
7,7,00347716,제 19 기,20180402,13130043454.0,11248989425.0,24379032879.0,9500585037.0,1409592117.0,10910177154.0,10493313500.0,-4623660041.0,13468855725.0
8,8,00112165,제 42 기,20180402,189557406829.0,349216102055.0,538773508884.0,294703583409.0,97564190543.0,392267773952.0,11233705000.0,70911252555.0,146505734932.0
9,9,00103510,제 40 기,20180402,114185760792.0,196632294458.0,310818055250.0,138650202421.0,24074894232.0,162725096653.0,7580064000.0,,148092958597.0
10,10,00186799,제 31 기,20180402,373811620496.0,627806281045.0,1001617901541.0,74019724925.0,298851680647.0,372871405572.0,10003690500.0,402069865187.0,628746495969.0
11,11,00113535,제 51 기,20180402,241236436666.0,1754263926021.0,1995500362687.0,400695490577.0,1015917103709.0,1416612594286.0,122132520000.0,47972785326.0,578887768401.0
12,12,00995993,제 17 기,20200428,38406926946.0,18568488274.0,56975415220.0,1421158220.0,25761359818.0,27182518038.0,3032436000.0,-5952109711.0,29792897182.0
13,13,00140131,제 31 기,20180330,10238249887.0,9035136099.0,19273385986.0,2116189659.0,60093054.0,2176282713.0,7916274500.0,6710863759.0,17097103273.0
14,14,00128980,제 42 기,20180330,138923390445.0,120203964249.0,259127354694.0,82629721853.0,5711745758.0,88341467611.0,12500000000.0,135357934193.0,170785887083.0
15,15,00390365,제 20 기,20180402,161597465439.0,81108596172.0,242706061611.0,72282415282.0,218474396.0,72500889678.0,8358529000.0,124092224806.0,170205171933.0
16,16,00141273,제 43 기,20181213,33323148392.0,38165945434.0,71489093826.0,47690960997.0,1179152344.0,48870113341.0,7624942000.0,-49064896928.0,22618980485.0
17,17,00126380,제 49 기,20180402,70155189000000.0,128086171000000.0,198241360000000.0,44495084000000.0,2176501000000.0,46671585000000.0,897514000000.0,150928724000000.0,151569775000000.0
18,18,00293886,제 32 기,20180402,74845039310.0,109620849551.0,184465888861.0,81838568388.0,4385120816.0,86223689204.0,8179320500.0,48185275771.0,98242199657.0
19,19,00134723,제 65 기,20180402,244451492503.0,228597585934.0,473049078437.0,210694269448.0,187200704797.0,397894974245.0,27108328500.0,-103510722064.0,75154104192.0
20,20,00208444,제 28 기,20180330,185460306294.0,87069401503.0,272529707797.0,38261093353.0,4083883824.0,42344977177.0,10165802000.0,186112943153.0,230184730620.0
21,21,00145686,제 69 기,20180329,38226863279.0,63047945871.0,101274809150.0,34077566702.0,847183825.0,34924750527.0,14000000000.0,35720074935.0,66350058623.0
22,22,00526836,제 16 기,20180330,91054392370.0,152174566114.0,243228958484.0,81706267952.0,10603207349.0,92309475301.0,11644766500.0,78133829317.0,150919483183.0
23,23,00225159,제 36 기,20180314,98229088112.0,327206334464.0,425435422576.0,299279307.0,,299279307.0,8115052500.0,315328592335.0,425136143269.0
24,24,01110076,제 3 기,20180402,4790062408.0,16891398142.0,21681460550.0,12119187653.0,731246254.0,12850433907.0,905752000.0,-50445721.0,8831026643.0
25,25,00139685,제 38 기,20170928,18002601958.0,64378638436.0,82381240394.0,15669243754.0,1736942682.0,17406186436.0,7990000000.0,,64975053958.0
26,26,00120872,제 65 기,20170928,145918081037.0,99506618512.0,245424699549.0,16082705354.0,3916491506.0,19999196860.0,4150000000.0,112299864910.0,225425502689.0
27,27,00587457,제 24 기,20180614,154849074500.0,28558642984.0,183407717484.0,109165240070.0,8898710000.0,118063950070.0,17414919000.0,7731788583.0,65343767414.0
28,28,00138446,제 39 기,20180402,84736038888.0,124874907204.0,209610946092.0,14779154475.0,27780247670.0,42559402145.0,16443768000.0,,167051543947.0
29,29,00150165,제 32 기,20180402,13456501786.0,43311847032.0,56768348818.0,24408458502.0,6234538423.0,30642996925.0,10739017000.0,-16896209575.0,26125351893.0
30,30,00540641,제 13 기,20180402,25191506452.0,185985807983.0,211177314435.0,62167522593.0,23419900890.0,85587423483.0,13762255000.0,64900731074.0,125589890952.0
31,31,00203315,제 31 기,20180402,55998485580.0,321323796843.0,377322282423.0,117272498280.0,17302485372.0,134574983652.0,57034491000.0,9733837326.0,242747298771.0
32,32,00125965,제 30 기,20180402,69674454233.0,17805373754.0,87479827987.0,4791167772.0,30000000.0,4821167772.0,4750000000.0,60542443259.0,82658660215.0
33,33,00815369,제 8 기,20180402,75648924213.0,81932052109.0,157580976322.0,16435613304.0,3254669772.0,19690283076.0,,,137890693246.0
34,34,00440712,제 20 기,20180803,9994557842.0,16878506172.0,26873064014.0,3161942764.0,352703098.0,3514645862.0,4612684500.0,-9740379537.0,23358418152.0
35,35,00102113,제 41 기,20180330,125062665559.0,171846418665.0,296909084224.0,93894859887.0,12170122056.0,106064981943.0,20198182500.0,133022973708.0,190844102281.0
36,36,00569646,제 14 기,20181130,132841859914.0,29311618290.0,162153478204.0,111495057457.0,15523354000.0,127018411457.0,6092233000.0,17754835580.0,35135066747.0
37,37,00127158,제 51 기,20180402,7755325906.0,23571481428.0,31326807334.0,5349423478.0,5303964133.0,10653387611.0,22393769000.0,-23182751424.0,20673419723.0
38,38,00192499,제 27 기,20180404,183223905177.0,213908208572.0,397132113749.0,197488663660.0,24778281469.0,222266945129.0,45974044500.0,94558807846.0,174865168620.0
39,39,00204208,제 33 기,20180330,41229717740.0,180583250091.0,221812967831.0,99495383642.0,31242466850.0,130737850492.0,58362738500.0,-18691777130.0,91075117339.0
40,40,00418379,제 19 기,20180604,29005054557.0,11802722695.0,40807777252.0,11356771361.0,1041999230.0,12398770591.0,16974678500.0,-15751601367.0,28409006661.0
41,41,00153375,제 36 기,20180330,275317796143.0,178692544057.0,454010340200.0,28685098542.0,6153817222.0,34838915764.0,13250000000.0,384741034743.0,419171424436.0
42,42,00674498,제 18 기,20180402,46961353448.0,489283418919.0,536244772367.0,37343445115.0,18826864444.0,56170309559.0,21418409000.0,169570716352.0,480074462808.0
43,43,00124726,제 52 기,20180402,355056895467.0,277172412234.0,632229307701.0,93174725619.0,12953310577.0,106128036196.0,49756205000.0,,526101271505.0
44,44,00393469,제 31 기,20191108,9231384072.0,65424494041.0,74655878113.0,33354679342.0,137500.0,33354816842.0,5289936000.0,-12065889009.0,41301061271.0
45,45,00149804,제 63 기,20180406,84536097353.0,274664322986.0,359200420339.0,224471567348.0,14617565837.0,239089133185.0,49689816000.0,,120111287154.0
46,46,00305297,제 31 기,20180329,248312128651.0,53607248134.0,301919376785.0,37222203410.0,3312463727.0,40534667137.0,7787276000.0,183838119692.0,261384709648.0
47,47,00910840,제 7 기,20180330,49964605589.0,52801454683.0,102766060272.0,26217081958.0,24681584904.0,50898666862.0,4931544500.0,30445277596.0,51867393410.0
48,48,00617998,제 26 기,20180402,23998854166.0,13986440250.0,37985294416.0,13636548697.0,2016000000.0,15652548697.0,1816500000.0,16543645719.0,22332745719.0
49,49,00453929,제 18 기,20180824,45333538662.0,101585191003.0,146918729665.0,5173057539.0,34899815902.0,40072873441.0,3929210500.0,-27483265609.0,106845856224.0
50,50,00121969,제 47 기,20180330,24452058715.0,68702809946.0,93154868661.0,56522499050.0,2600254541.0,59122753591.0,5481961500.0,-6845226957.0,34032115070.0
51,51,00136402,제 48 기,20180402,10476891989.0,143108795728.0,153585687717.0,169801605.0,21406181039.0,21575982644.0,5914429000.0,57992351080.0,132009705073.0
52,52,00482426,제 19 기,20180330,70393509975.0,123195311808.0,193588821783.0,71420250550.0,1770199982.0,73190450532.0,4665852500.0,70643720518.0,120398371251.0
53,53,00132318,제 38 기,20180511,226531644309.0,242682748933.0,469214393242.0,20472136175.0,11807239510.0,32279375685.0,14300000000.0,,436935017557.0
54,54,00620558,제 14 기,20180330,63736654346.0,78956295852.0,142692950198.0,42014312741.0,6007532789.0,48021845530.0,36894322500.0,41226823085.0,94671104668.0
55,55,00360142,제 18 기,20180330,582763933339.0,156041674497.0,738805607836.0,358407905559.0,0.0,358407905559.0,18166670000.0,251654366356.0,380397702277.0
56,56,00108977,제 49 기,20180330,55571512527.0,416271522338.0,471843034865.0,91058496558.0,29504859641.0,120563356199.0,54129465000.0,231194258232.0,351279678666.0
57,57,00110608,제 54 기,20180330,95691506955.0,98756628835.0,194448135790.0,56534807067.0,406828444.0,56941635511.0,8000000000.0,114038820023.0,137506500279.0
58,58,00100601,제 43 기,20180402,66557787965.0,21223628476.0,87781416441.0,36681992542.0,3982403996.0,40664396538.0,7626515000.0,23551833834.0,47117019903.0
59,59,00157681,제 54 기,20180402,694929462673.0,887545346001.0,1582474808674.0,353560654271.0,94032794637.0,447593448908.0,129000000000.0,,1134881359766.0
60,60,00351630,제 29 기,20180330,135373825554.0,167046425335.0,302420250889.0,123216999501.0,42546561324.0,165763560825.0,5462959000.0,104067129700.0,136656690064.0
61,61,00666064,제 19 기,20180330,14025596447.0,53466594769.0,67492191216.0,10247888309.0,13946660186.0,24194548495.0,11027972500.0,-4965483770.0,43297642721.0
62,62,01047451,제 4 기,20180330,22965020343.0,33030209938.0,55995230281.0,21291207826.0,5884997048.0,27176204874.0,6573535500.0,3705907675.0,28819025407.0
63,63,00117300,제 60 기,20180330,101914013982.0,146982223242.0,248896237224.0,148607324041.0,10661867726.0,159269191767.0,22342500000.0,53415886045.0,89627045457.0
64,64,00501970,제 14 기,20180402,2426359746.0,30790134414.0,33216494160.0,17527990022.0,5256449707.0,22784439729.0,16441383000.0,-56250853676.0,10432054431.0
65,65,01049422,제 4 기,20180607,23461167052.0,4903016000.0,28364183052.0,458684382.0,271393533.0,730077915.0,7602052900.0,-9182235820.0,27634105137.0
66,66,00146861,제 31 기,20180402,258250082643.0,128158015857.0,386408098500.0,109049336333.0,8957329889.0,118006666222.0,8950000000.0,238459481755.0,268401432278.0
67,67,00112378,제 57 기,20180402,8513802269.0,119013539266.0,127527341535.0,57314916196.0,18393869114.0,75708785310.0,59879833500.0,-61913023218.0,51818556225.0
68,68,00126308,제 51 기,20180417,2516639541324.0,1690070977086.0,4206710518410.0,2431718447561.0,950335080580.0,3382053528141.0,980000000000.0,-76162528404.0,824656990269.0
69,69,00535375,제 16 기,20180329,14578489413.0,1999515014.0,16578004427.0,2749237375.0,343985710.0,3093223085.0,3508455500.0,8056903877.0,13484781342.0
70,70,00301246,제 20 기,20180402,143206170263.0,375715249098.0,518921419361.0,62178737123.0,249756742714.0,311935479837.0,70795603500.0,-214614537868.0,206985939524.0
71,71,01065013,제 3 기,20180618,19916295544.0,11482538790.0,31398834334.0,10983161855.0,2091235533.0,13074397388.0,2169744300.0,984222841.0,18324436946.0
72,72,00260383,제 49 기,20180330,405807656811.0,1494959581104.0,1900767237915.0,258683219628.0,221302259538.0,479985479166.0,41000000000.0,1119131584561.0,1420781758749.0
73,73,00137012,제 28 기,20180402,24873212084.0,39267191643.0,64140403727.0,5166409438.0,6533057553.0,11699466991.0,3600000000.0,36491499736.0,52440936736.0
74,74,00257732,제 20 기,20190911,81034506987.0,28085846147.0,109120353134.0,29985189511.0,1351099845.0,31336289356.0,4202000000.0,22366608407.0,77784063778.0
75,75,00378628,제 26 기,20180330,93900563145.0,147333501309.0,241234064454.0,17765252829.0,14190777494.0,31956030323.0,10000000000.0,181508184455.0,209278034131.0
76,76,00105952,제 49 기,20180402,26446000000.0,2182553000000.0,2208999000000.0,180989000000.0,169762000000.0,350751000000.0,161000000000.0,,1858248000000.0
77,77,00628189,제 11 기,20180402,341824451345.0,187236358652.0,529060809997.0,215855285742.0,13180839768.0,229036125510.0,17310582500.0,96464560480.0,300024684487.0
78,78,00152589,제 30 기,20180330,34021604302.0,84168299737.0,118189904039.0,23594024877.0,16900253322.0,40494278199.0,20000000000.0,24306219589.0,77695625840.0
79,79,00372688,제 20 기,20190314,25208359993.0,20069024580.0,45277384573.0,26733232114.0,9174541496.0,35907773610.0,10360384000.0,-21765500930.0,9369610963.0
80,80,00175173,제 28 기,20180330,87492887100.0,150307557890.0,237800444990.0,101871434221.0,15050856126.0,116922290347.0,13000000000.0,86353903968.0,120878154643.0
81,81,00132992,제 37 기,20200428,794197578727.0,1106003100437.0,1900200679164.0,788707250701.0,178951326659.0,967658577360.0,30000000000.0,877505919786.0,932542101804.0
82,82,00633835,제 11 기,20180615,1390569000000.0,1921734000000.0,3312303000000.0,2532122000000.0,216771000000.0,2748893000000.0,530263000000.0,-710560000000.0,563410000000.0
83,83,00103547,제 33 기,20180402,14202880179.0,46435010777.0,60637890956.0,24746596781.0,12851989814.0,37598586595.0,5995648000.0,8280618627.0,23039304361.0
84,84,00125150,제 51 기,20181105,200031954013.0,401054094933.0,601086048946.0,318090598186.0,59750126081.0,377840724267.0,24272090000.0,182421892566.0,223245324679.0
85,85,00357740,제 23 기,20180402,140012403973.0,81897424766.0,221909828739.0,97049598473.0,18136453040.0,115186051513.0,9793751500.0,59799057029.0,106723777226.0
86,86,00145163,제 50 기,20180330,25850467168.0,37901474651.0,63751941819.0,2380848939.0,5377921475.0,7758770414.0,29204055000.0,-155998422747.0,55993171405.0
87,87,00203023,제 33 기,20181114,53575224110.0,83010927754.0,136586151864.0,57631405754.0,6992610542.0,64624016296.0,33191693500.0,-13442800989.0,71962135568.0
88,88,00156150,제 32 기,20180402,34527966462.0,23780338254.0,58308304716.0,21112644522.0,4271836988.0,25384481510.0,13826837500.0,-145413343.0,32923823206.0
89,89,00114154,제 41 기,20181026,165644239206.0,166179799703.0,331824038909.0,241070773133.0,30679466044.0,271750239177.0,16282490000.0,8709234536.0,60073799732.0
90,90,00492353,제 18 기,20180330,31711460708.0,11136214958.0,42847675666.0,4942568763.0,5573628334.0,10516197097.0,3428165000.0,5538771729.0,32331478569.0
91,91,00205003,제 25 기,20180402,77477420561.0,24184445386.0,101661865947.0,28508139975.0,1547890568.0,30056030543.0,13206268000.0,44882427831.0,71605835404.0
92,92,00164788,제 41 기,20180328,11460665000000.0,13901708000000.0,25362373000000.0,3713319000000.0,416159000000.0,4129478000000.0,491096000000.0,,21232895000000.0
93,93,00157636,제 54 기,20180330,223518980334.0,144131488672.0,367650469006.0,174848524855.0,18966945310.0,193815470165.0,7443321000.0,130119035926.0,173834998841.0
94,94,00145914,제 34 기,20171229,54797734373.0,71032372888.0,125830107261.0,33003279846.0,9591130271.0,42594410117.0,10522733500.0,40940410659.0,83235697144.0
95,95,00159564,제 31 기,20180330,33987246970.0,50940487191.0,84927734161.0,27562409024.0,1020111430.0,28582520454.0,5654629500.0,47498780219.0,56345213707.0
96,96,00138279,제 43 기,20180402,6769402000000.0,8308161000000.0,15077563000000.0,4543391000000.0,3695073000000.0,8238464000000.0,291512000000.0,,6839099000000.0
97,97,00118521,제 42 기,20180629,29656054071.0,19732236003.0,49388290074.0,8400711558.0,312276555.0,8712988113.0,21174063000.0,-39494378436.0,40675301961.0
98,98,00159023,제 34 기,20180402,3768098000000.0,21789424000000.0,25557522000000.0,4767401000000.0,5782730000000.0,10550131000000.0,44639000000.0,,15007391000000.0
99,99,00410739,제 20 기,20180329,18958853205.0,21120390823.0,40079244028.0,25036309114.0,322750727.0,25359059841.0,,,14720184187.0
100,100,00526951,제 15 기,20180330,59585843721.0,109937800967.0,169523644688.0,80371252107.0,10987223017.0,91358475124.0,16056973500.0,21534316079.0,78165169564.0
101,101,00155151,제 33 기,20180402,241318807868.0,315903329340.0,557222137208.0,202725235983.0,16313608542.0,219038844525.0,10500000000.0,254315391608.0,338183292683.0
102,102,00269241,제 30 기,20180330,35390453824.0,17790146498.0,53180600322.0,4336882183.0,1406911009.0,5743793192.0,9877327000.0,-9550620593.0,47436807130.0
103,103,00127255,제 55 기,20180330,42281589374.0,45843008016.0,89171444321.0,29729440613.0,6338903521.0,36068344134.0,17000000000.0,-11631726485.0,53103100187.0
104,104,00261443,제 21 기,20180330,1669239629302.0,1792268424923.0,3461508054225.0,372494395946.0,335582071082.0,708076467028.0,10969511000.0,1924094023958.0,2753431587197.0
105,105,00610490,제 26 기,20180402,74642099128.0,22166334868.0,96808433996.0,50211049411.0,14925046825.0,65136096236.0,2640250000.0,11068295816.0,31672337760.0
106,106,00261957,제 28 기,20180330,61878545120.0,36704855328.0,98583400448.0,44852137451.0,1768613538.0,46620750989.0,4009198500.0,1917661033.0,51962649459.0
107,107,00609634,제 12 기,20180329,52091425486.0,69524927863.0,121616353349.0,67410168122.0,6930917393.0,74341085515.0,11286004500.0,14059886325.0,47275267834.0
108,108,00618410,제 14 기,20180402,32362364732.0,124625624810.0,156987989542.0,93237997497.0,1339707940.0,94577705437.0,18068799000.0,12314369302.0,62410284105.0
109,109,00159193,제 57 기,20180330,9344127000000.0,97196027000000.0,106540154000000.0,18707499000000.0,32050299000000.0,50757798000000.0,3209820000000.0,38018329000000.0,55782356000000.0
110,110,00142713,제 42 기,20180330,54758246991.0,21176852853.0,75935099844.0,40524555810.0,8837867155.0,49362422965.0,19477834000.0,-20456829000.0,26572676879.0
111,111,00153861,제 45 기,20180612,717320378443.0,1155451434567.0,1872771813010.0,651438428908.0,401199480279.0,1052637909187.0,39478740000.0,648870979858.0,820133903823.0
112,112,00216647,제 27 기,20180615,113897547574.0,586384881915.0,700282429489.0,142594482273.0,22548602438.0,165143084711.0,38618990500.0,,535139344778.0
113,113,00468374,제 15 기,20180330,51589266397.0,167635769982.0,219225036379.0,39219292694.0,21683795290.0,60903087984.0,13144000000.0,134532240711.0,158321948395.0
114,114,00169048,제 56 기,20180830,35772217974.0,39153269057.0,74925487031.0,9695680834.0,2383701197.0,12079382031.0,9590550000.0,-12902432333.0,62846105000.0
115,115,00104698,제 68 기,20180330,170994450798.0,876722684709.0,1047717135507.0,491416772402.0,76801063947.0,568217836349.0,394091500000.0,110944324553.0,479499299158.0
116,116,00363510,제 19 기,20180402,25379560604.0,38426629240.0,63806189844.0,31502884772.0,9622355888.0,41125240660.0,20661288000.0,-29649107802.0,22680949184.0
117,117,00100939,제 66 기,20181231,194534019874.0,212098304072.0,406632323946.0,55319514631.0,8855556418.0,64175071049.0,,,342457252897.0
118,118,00753643,제 9 기,20180608,33775124018.0,22540491098.0,56315615116.0,41946535646.0,3832738107.0,45779273753.0,4495772500.0,-61471731207.0,10536341363.0
119,119,00159810,제 48 기,20180330,227888040449.0,234280649153.0,462168689602.0,178730496285.0,19849102890.0,198579599175.0,20000000000.0,170721613980.0,263589090427.0
120,120,00118804,제 45 기,20180330,213662821310.0,353598240212.0,567261061522.0,259967202416.0,49527186436.0,309494388852.0,25707247000.0,,257766672670.0
121,121,00159698,제 33 기,20180329,617914660034.0,5103676248589.0,5721590908623.0,977673870522.0,2914184485245.0,3891858355767.0,57893720000.0,1658220879186.0,1829732552856.0
122,122,00165680,제 45 기,20180402,,,2261641205033.0,,,1474908287137.0,200000000000.0,,786732917896.0
123,123,00983040,제 5 기,20180402,209769436712.0,1715457223034.0,1925226659746.0,427876614785.0,1232179052.0,429108793837.0,149268060000.0,143633752132.0,1496117865909.0
124,124,00923792,제 17 기,20180330,36803625161.0,39200338368.0,76003963529.0,5226469967.0,25016731477.0,30243201444.0,10115520000.0,,45760762085.0
125,125,00121543,제 45 기,20190225,107185533496.0,558991895992.0,666177429488.0,128374441237.0,4230398524.0,132604839761.0,5700000000.0,,533572589727.0
126,126,00441243,제 16 기,20170928,71866610353.0,59859723999.0,131726334352.0,33334877136.0,18884206632.0,52219083768.0,9233626500.0,43246381983.0,79507250584.0
