,기업코드,회차,등록일,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름
0,956028,제 16 기,20180420,1161698 ,-15785668 ,830508 
1,1165739,제 3 기,20180430,-4598219 ,-13011920 ,5795985 
2,171636,제 53 기,20180402,9117278973 ,17226706791 ,-20594094048 
3,147772,제 49 기,20180330,,,
4,273110,제 29 기,20180402,-7277233468 ,-6512408018 ,-11193520 
5,159500,제 55 기,20180402,-11091184217 ,-562731217 ,6905000000 
6,105466,제 29 기,20180402,102568543327 ,60271820095 ,-50033249894 
7,347716,제 19 기,20180402,172079738 ,-793571120 ,-3417278080 
8,112165,제 42 기,20180402,37716905103 ,-94174826177 ,55604513647 
9,103510,제 40 기,20180402,,,
10,186799,제 31 기,20180402,1098048823 ,-79510383520 ,54583893137 
11,113535,제 51 기,20180402,149885057204 ,-332678710927 ,183778961441 
12,995993,제 17 기,20200428,-2126338737 ,-1653799431 ,30522746365 
13,140131,제 31 기,20180330,958774956 ,-1674089123 ,668590744 
14,128980,제 42 기,20180330,13058389647 ,-7476783534 ,-4783548890 
15,390365,제 20 기,20180402,41042988491 ,-7462631554 ,-31758875375 
16,141273,제 43 기,20181213,-3707244472 ,-24782423498 ,32793084043 
17,126380,제 49 기,20180402,,,
18,293886,제 32 기,20180402,27688754477 ,-9271223861 ,-18891240294 
19,134723,제 65 기,20180402,-12217742042 ,-102141252414 ,117565124125 
20,208444,제 28 기,20180330,15123137891 ,-5165505194 ,-5082901000 
21,145686,제 69 기,20180329,-1965472747 ,-64307083 ,-2077257950 
22,526836,제 16 기,20180330,7116553644 ,-11034344694 ,-3843260120 
23,225159,제 36 기,20180314,6184231300 ,-18991271818 ,-5527452350 
24,1110076,제 3 기,20180402,791361655 ,-14867347292 ,11421720589 
25,139685,제 38 기,20170928,4067312008 ,-2523816162 ,-1468198812 
26,120872,제 65 기,20170928,,,-20705093177 
27,587457,제 24 기,20180614,-43693836368 ,268004119 ,36433034682 
28,138446,제 39 기,20180402,-3342907961 ,-4933533701 ,0 
29,150165,제 32 기,20180402,-1282017563 ,-6447944139 ,8395212423 
30,540641,제 13 기,20180402,17752391298 ,-3167487942 ,-22791918065 
31,203315,제 31 기,20180402,-4411090521 ,-39828340047 ,24469377922 
32,125965,제 30 기,20180402,2074730516 ,-246284339 ,-3607200000 
33,815369,제 8 기,20180402,9431011420 ,211710100 ,-3120979600 
34,440712,제 20 기,20180803,-3726815293 ,5234116246 ,3655433217 
35,102113,제 41 기,20180330,652491310 ,-16850426785 ,16543794825 
36,569646,제 14 기,20181130,376516419 ,-11829679439 ,34773034558 
37,127158,제 51 기,20180402,295945665 ,-4825065651 ,7000000000 
38,192499,제 27 기,20180404,14208013716 ,-12855872363 ,-7501466341 
39,204208,제 33 기,20180330,12071269181 ,-20082457650 ,7953807129 
40,418379,제 19 기,20180604,-2767190119 ,-7069912697 ,16689870021 
41,153375,제 36 기,20180330,17133762989 ,-29129080528 ,-520662100 
42,674498,제 18 기,20180402,-1147880342 ,21294648610 ,-2702826634 
43,124726,제 52 기,20180402,40375882985 ,-27766021008 ,-11052249330 
44,393469,제 31 기,20191108,-1702377127 ,-65556844499 ,68459315026 
45,149804,제 63 기,20180406,21875623756 ,,-9092498888 
46,305297,제 31 기,20180329,23586591193 ,-42351756278 ,-4460947800 
47,910840,제 7 기,20180330,-45965945 ,-30279909858 ,33195507642 
48,617998,제 26 기,20180402,-503319313 ,893115603 ,1650100000 
49,453929,제 18 기,20180824,-5761575675 ,2476333702 ,2715903639 
50,121969,제 47 기,20180330,-4448971371 ,327598992 ,3200000000 
51,136402,제 48 기,20180402,330120626 ,-5984478876 ,-946308640 
52,482426,제 19 기,20180330,11050814405 ,-19719847794 ,9540957600 
53,132318,제 38 기,20180511,,,
54,620558,제 14 기,20180330,-18411816455 ,-4491754469 ,10639953853 
55,360142,제 18 기,20180330,174613738214 ,-148336500190 ,-20636559650 
56,108977,제 49 기,20180330,-10891297211 ,-7063784337 ,17468312650 
57,110608,제 54 기,20180330,11109493698 ,-18175609251 ,3734356251 
58,100601,제 43 기,20180402,-4605588268 ,484043205 ,4943754181 
59,157681,제 54 기,20180402,,,
60,351630,제 29 기,20180330,4094725534 ,-20353787585 ,18626065467 
61,666064,제 19 기,20180330,5224649327 ,4033542035 ,-2980000000 
62,1047451,제 4 기,20180330,-3729080531 ,-7590519710 ,10659902739 
63,117300,제 60 기,20180330,-7248002134 ,671217438 ,5097294975 
64,501970,제 14 기,20180402,-1508129890 ,-4757297741 ,6174020243 
65,1049422,제 4 기,20180607,-7411238584 ,7790566217 ,-2531640 
66,146861,제 31 기,20180402,31313002930 ,-26537710723 ,20440670479 
67,112378,제 57 기,20180402,-10459700427 ,-5691639822 ,15387144844 
68,126308,제 51 기,20180417,-220718161080 ,-322914357590 ,391976700000 
69,535375,제 16 기,20180329,-3182345881 ,1348285863 ,
70,301246,제 20 기,20180402,13876981181 ,-42732553135 ,-1517807 
71,1065013,제 3 기,20180618,-2375506833 ,253737166 ,260266386 
72,260383,제 49 기,20180330,226687982046 ,-315120402966 ,12295600000 
73,137012,제 28 기,20180402,-1563149378 ,170366517 ,-1260640000 
74,257732,제 20 기,20190911,5138759760 ,413019 ,728582172 
75,378628,제 26 기,20180330,-17261132936 ,23643937924 ,6675670960 
76,105952,제 49 기,20180402,69534000000 ,-31544000000 ,-69391000000 
77,628189,제 11 기,20180402,58948806977 ,-9753152329 ,-27044896187 
78,152589,제 30 기,20180330,7056520368 ,-2271541925 ,-2348279571 
79,372688,제 20 기,20190314,-2901423458 ,-9073420302 ,23131039131 
80,175173,제 28 기,20180330,155082125 ,-11597089232 ,7813727500 
81,132992,제 37 기,20200428,31398546781 ,-19149563421 ,-40592388801 
82,633835,제 11 기,20180615,368798000000 ,-36512000000 ,-323602000000 
83,103547,제 33 기,20180402,-1539869397 ,-8523524534 ,4715818130 
84,125150,제 51 기,20181105,1019260222 ,36675866133 ,-31246790527 
85,357740,제 23 기,20180402,20556657289 ,-28712216464 ,14945633868 
86,145163,제 50 기,20180330,-2007324097 ,2645983291 ,499759500 
87,203023,제 33 기,20181114,22999654973 ,-27041881115 ,4006406605 
88,156150,제 32 기,20180402,-11013858661 ,5124487318 ,5984840052 
89,114154,제 41 기,20181026,30701051217 ,-9352118280 ,-12850000000 
90,492353,제 18 기,20180330,3382652952 ,-4078987209 ,-1242443700 
91,205003,제 25 기,20180402,3574257487 ,-1939554182 ,-295879680 
92,164788,제 41 기,20180328,1776082000000 ,-535519000000 ,-488362000000 
93,157636,제 54 기,20180330,-1044401331 ,-17504079512 ,1213954450 
94,145914,제 34 기,20171229,2689540024 ,-6444022623 ,2344553259 
95,159564,제 31 기,20180330,-2892549294 ,-382960139 ,2790909760 
96,138279,제 43 기,20180402,1139745000000 ,-832671000000 ,-598264000000 
97,118521,제 42 기,20180629,-3850122062 ,-42222236 ,-3869673496 
98,159023,제 34 기,20180402,,,
99,410739,제 20 기,20180329,-1078624170 ,-13198137469 ,13880000000 
100,526951,제 15 기,20180330,10045253545 ,-8588031928 ,10349406770 
101,155151,제 33 기,20180402,23754832203 ,24599892324 ,-22213785139 
102,269241,제 30 기,20180330,-5516965628 ,6293075198 ,9446824140 
103,127255,제 55 기,20180330,,,
104,261443,제 21 기,20180330,591923578054 ,-490329271855 ,-79738476980 
105,610490,제 26 기,20180402,-11173855153 ,-4442456739 ,19167160399 
106,261957,제 28 기,20180330,1467147601 ,-49819101 ,317086903 
107,609634,제 12 기,20180329,5000901484 ,-17530929640 ,9075547400 
108,618410,제 14 기,20180402,11958147803 ,-37241017594 ,27967523476 
109,159193,제 57 기,20180330,6651117000000 ,-5835244000000 ,-746413000000 
110,142713,제 42 기,20180330,2149906562 ,-1771386825 ,-1697000000 
111,153861,제 45 기,20180612,-72442237347 ,-99504772153 ,124667867503 
112,216647,제 27 기,20180615,3732146505 ,-105852547892 ,97948745956 
113,468374,제 15 기,20180330,15747393107 ,-4577307861 ,959972400 
114,169048,제 56 기,20180830,598786290 ,-18715523821 ,16868299154 
115,104698,제 68 기,20180330,-2735939108 ,49433343479 ,-32401956972 
116,363510,제 19 기,20180402,-2498408803 ,-20068978079 ,17814573706 
117,100939,제 66 기,20181231,,,
118,753643,제 9 기,20180608,-785841603 ,-4845505716 ,1950123005 
119,159810,제 48 기,20180330,48788912685 ,15026652844 ,-37786905387 
120,118804,제 45 기,20180330,78733175000 ,-39764902941 ,-24589238208 
121,159698,제 33 기,20180329,445412084951 ,-651888338066 ,234591444207 
122,165680,제 45 기,20180402,,,
123,983040,제 5 기,20180402,39063316439 ,-53745497024 ,-5485516006 
124,923792,제 17 기,20180330,-7436599178 ,-2471974205 ,-675000000 
125,121543,제 45 기,20190225,,,20204596200 
126,441243,제 16 기,20170928,5165507616 ,21274341252 ,-21336278034 
127,127954,제 30 기,20180330,,,
128,145446,제 46 기,20180330,27657255079 ,-10995449358 ,-12246897332 
129,152260,제 35 기,20180330,4369203895 ,53906870 ,-1815801071 
130,1097906,제 3 기,20180329,8155212277 ,-10058665928 ,477289550 
131,148443,제 58 기,20180402,5721904317 ,-3239513916 ,-24478920575 
132,181943,제 43 기,20180402,-785772598 ,2601719783 ,-2358416300 
133,134477,제 55 기,20180314,32129372847 ,-47443175772 ,-15386544131 
134,530121,제 23 기,20190201,8389495426 ,-355611577 ,43664717936 
135,260392,제 49 기,20180330,-10340018554 ,11050479610 ,-117969986 
136,129642,제 43 기,20180402,29817265499 ,-52044499806 ,29890772484 
137,132868,제 42 기,20180330,-7412999925 ,-4812413669 ,9079536697 
138,111874,제 50 기,20180402,59010936790 ,-10834443190 ,-1968600000 
139,107598,제 54 기,20180921,,,
140,356370,제 17 기,20180402,668286985906 ,-249333799192 ,-299785359237 
141,328191,제 18 기,20180402,1603010545 ,4610473758 ,-4375675211 
142,117212,제 81 기,20180330,,,
143,359580,제 21 기,20180402,5670385808 ,-102491731883 ,94358661200 
144,270113,제 20 기,20180330,-405702952 ,-815945533 ,-711299734 
145,117188,제 63 기,20180326,616481366164 ,-312438771965 ,-298088264099 
146,199252,제 33 기,20180330,-4772722006 ,-25481465116 ,29303830200 
147,140964,제 44 기,20180402,10579859640 ,-3096696582 ,-5802449000 
148,173032,제 70 기,20180402,,,
149,454399,제 18 기,20180330,6930237532 ,-6215319430 ,484738836 
150,140177,제 47 기,20180330,369369762155 ,-424339915113 ,101300000000 
151,573579,제 12 기,20180402,5682438477 ,-3340580605 ,-2311029850 
152,155124,제 44 기,20180402,,439046076 ,
153,129509,제 39 기,20180402,1647527459 ,-31380459962 ,28898243836 
154,364467,제 19 기,20180622,-7524801557 ,-49701403853 ,64957381790 
155,133812,제 53 기,20180402,27522530487 ,-5265820432 ,-8609453020 
156,103130,제 44 기,20180417,7247971313 ,-9841913124 ,995439366 
157,159616,제 55 기,20180330,,,
158,160205,제 44 기,20180330,-8125835867 ,510926296 ,7420909200 
159,525934,제 19 기,20180402,32304674119 ,-206524109123 ,-14637870000 
160,642541,제 18 기,20180402,-2310657728 ,5980261276 ,-1573140000 
161,186452,제 27 기,20180330,247466565 ,-7185600852 ,2533297420 
162,244419,제 23 기,20180330,-2014232232 ,-7864924887 ,10778681703 
163,148896,제 44 기,20180612,,,
164,102858,제 44 기,20180405,676572777707 ,-167723387061 ,-163320589795 
165,150244,제 66 기,20180411,342965578593 ,-106022760929 ,-107673018934 
166,115977,제 43 기,20180402,15907372791 ,-65840536596 ,58922503044 
