,기업코드,회차,등록일,수익(매출액),영업이익(손실),당기순이익(손실)
0,956028,제 16 기,20180420,"24,347,218","120,381","-1,629,679"
1,1165739,제 3 기,20180430,,"-3,982,045","-13,864,646"
2,171636,제 53 기,20180402,,"14,952,676,720","-143,685,542,254"
3,147772,제 49 기,20180330,,,
4,273110,제 29 기,20180402,,"-8,455,346,598","-10,797,600,612"
5,159500,제 55 기,20180402,,,
6,105466,제 29 기,20180402,,,"22,483,322,690"
7,347716,제 19 기,20180402,,"283,563,642","622,165,934"
8,112165,제 42 기,20180402,,,
9,103510,제 40 기,20180402,,,
10,186799,제 31 기,20180402,"304,366,834,330","-4,358,335,709","-5,959,038,912"
11,113535,제 51 기,20180402,"726,762,508,897","80,077,990,914","43,750,961,258"
12,995993,제 17 기,20200428,,"-3,249,190,855","-3,742,998,288"
13,140131,제 31 기,20180330,"11,903,648,808","-92,954,478","-2,198,731,453"
14,128980,제 42 기,20180330,"262,874,513,071",,"23,020,713,734"
15,390365,제 20 기,20180402,"523,988,615,013","19,366,097,053","13,300,368,767"
16,141273,제 43 기,20181213,"32,026,433,759","-6,118,977,846","-22,444,779,364"
17,126380,제 49 기,20180402,,,"28,800,837,000,000"
18,293886,제 32 기,20180402,"208,197,354,362","17,140,209,710","12,101,616,391"
19,134723,제 65 기,20180402,"242,063,629,649","-42,915,944,537","-115,772,529,621"
20,208444,제 28 기,20180330,"251,543,817,128","55,838,198,694","39,981,917,851"
21,145686,제 69 기,20180329,,,"-771,254,676"
22,526836,제 16 기,20180330,,"3,262,388,183","2,728,426,100"
23,225159,제 36 기,20180314,,"5,401,908,983","4,172,418,880"
24,1110076,제 3 기,20180402,,"-334,334,188","-302,658,394"
25,139685,제 38 기,20170928,,"3,816,398,302","3,579,596,437"
26,120872,제 65 기,20170928,"211,061,714,978","2,779,510,368","4,001,142,615"
27,587457,제 24 기,20180614,"69,122,271,361","6,479,989,919","4,636,625,455"
28,138446,제 39 기,20180402,,"-1,019,917,686","-4,481,117,406"
29,150165,제 32 기,20180402,"40,265,013,693","-8,374,219,890","-16,806,250,810"
30,540641,제 13 기,20180402,,,"4,282,266,713"
31,203315,제 31 기,20180402,"34,806,606,299","1,814,387,946","2,407,402,325"
32,125965,제 30 기,20180402,"47,157,689,506","2,507,504,111","2,813,224,648"
33,815369,제 8 기,20180402,,,
34,440712,제 20 기,20180803,"10,064,001,072","-3,470,731,131","-9,799,764,719"
35,102113,제 41 기,20180330,"193,975,817,754","159,204,046","531,272,719"
36,569646,제 14 기,20181130,,"-363,716,281","-4,736,508,408"
37,127158,제 51 기,20180402,"8,679,567,890","-4,510,689,257","-11,269,569,570"
38,192499,제 27 기,20180404,,"16,735,236,497","9,410,114,739"
39,204208,제 33 기,20180330,,"116,682,684","-14,676,857,818"
40,418379,제 19 기,20180604,,"-3,949,317,630","-5,674,524,151"
41,153375,제 36 기,20180330,"184,151,389,022","4,496,693,337","-16,226,021,493"
42,674498,제 18 기,20180402,"23,499,543,242","-6,824,299,640","-21,778,627,769"
43,124726,제 52 기,20180402,,,
44,393469,제 31 기,20191108,"4,347,267,624","-2,862,132,207","-7,298,649,267"
