,기업코드,회차,등록일,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금(결손금),자본총계
0,956028,제 16 기,20180420,"23,053,799 ","55,270,950 ","78,324,749 ","15,314,213 ","11,512,077 ","26,826,290 ","1,366,450 ","17,919,915 ","51,498,459 "
1,1165739,제 3 기,20180430,"39,187,249 ","27,230,058 ","66,417,307 ","11,385,513 ",0 ,"11,385,513 ","4,966,967 ","-13,005,260 ","55,031,794 "
2,171636,제 53 기,20180402,"8,656,683,896 ","452,754,909,587 ","461,411,593,483 ","9,105,276,838 ","22,038,461,788 ","31,143,738,626 ","231,799,355,000 ","81,399,817,430 ","430,267,854,857 "
3,147772,제 49 기,20180330,,,"62,899,736,059 ",,,"28,140,205,074 ",,,"34,759,530,985 "
4,273110,제 29 기,20180402,"11,484,849,985 ","24,192,533,734 ","35,677,383,719 ","2,063,068,823 ","5,250,465,188 ","7,313,534,011 ","13,303,870,000 ","-10,775,638,709 ","28,363,849,708 "
5,159500,제 55 기,20180402,"93,977,947,500 ","136,820,743,192 ","230,798,690,692 ","76,077,411,069 ","40,337,889,907 ","116,415,300,976 ","5,475,000,000 ",,"114,383,389,716 "
6,105466,제 29 기,20180402,"682,207,183,358 ","259,475,957,580 ","941,683,140,938 ","434,557,205,516 ","168,853,599,677 ","603,410,805,193 ","107,000,000,000 ",,"338,272,335,745 "
7,347716,제 19 기,20180402,"13,130,043,454 ","11,248,989,425 ","24,379,032,879 ","9,500,585,037 ","1,409,592,117 ","10,910,177,154 ","10,493,313,500 ","-4,623,660,041 ","13,468,855,725 "
8,112165,제 42 기,20180402,"189,557,406,829 ","349,216,102,055 ","538,773,508,884 ","294,703,583,409 ","97,564,190,543 ","392,267,773,952 ","11,233,705,000 ","70,911,252,555 ","146,505,734,932 "
9,103510,제 40 기,20180402,"114,185,760,792 ","196,632,294,458 ","310,818,055,250 ","138,650,202,421 ","24,074,894,232 ","162,725,096,653 ","7,580,064,000 ",,"148,092,958,597 "
10,186799,제 31 기,20180402,"373,811,620,496 ","627,806,281,045 ","1,001,617,901,541 ","74,019,724,925 ","298,851,680,647 ","372,871,405,572 ","10,003,690,500 ","402,069,865,187 ","628,746,495,969 "
11,113535,제 51 기,20180402,"241,236,436,666 ","1,754,263,926,021 ","1,995,500,362,687 ","400,695,490,577 ","1,015,917,103,709 ","1,416,612,594,286 ","122,132,520,000 ","47,972,785,326 ","578,887,768,401 "
12,995993,제 17 기,20200428,"38,406,926,946 ","18,568,488,274 ","56,975,415,220 ","1,421,158,220 ","25,761,359,818 ","27,182,518,038 ","3,032,436,000 ","-5,952,109,711 ","29,792,897,182 "
13,140131,제 31 기,20180330,"10,238,249,887 ","9,035,136,099 ","19,273,385,986 ","2,116,189,659 ","60,093,054 ","2,176,282,713 ","7,916,274,500 ","6,710,863,759 ","17,097,103,273 "
14,128980,제 42 기,20180330,"138,923,390,445 ","120,203,964,249 ","259,127,354,694 ","82,629,721,853 ","5,711,745,758 ","88,341,467,611 ","12,500,000,000 ","135,357,934,193 ","170,785,887,083 "
15,390365,제 20 기,20180402,"161,597,465,439 ","81,108,596,172 ","242,706,061,611 ","72,282,415,282 ","218,474,396 ","72,500,889,678 ","8,358,529,000 ","124,092,224,806 ","170,205,171,933 "
16,141273,제 43 기,20181213,"33,323,148,392 ","38,165,945,434 ","71,489,093,826 ","47,690,960,997 ","1,179,152,344 ","48,870,113,341 ","7,624,942,000 ","-49,064,896,928 ","22,618,980,485 "
17,126380,제 49 기,20180402,"70,155,189,000,000 ","128,086,171,000,000 ","198,241,360,000,000 ","44,495,084,000,000 ","2,176,501,000,000 ","46,671,585,000,000 ","897,514,000,000 ","150,928,724,000,000 ","151,569,775,000,000 "
18,293886,제 32 기,20180402,"74,845,039,310 ","109,620,849,551 ","184,465,888,861 ","81,838,568,388 ","4,385,120,816 ","86,223,689,204 ","8,179,320,500 ","48,185,275,771 ","98,242,199,657 "
19,134723,제 65 기,20180402,"244,451,492,503 ","228,597,585,934 ","473,049,078,437 ","210,694,269,448 ","187,200,704,797 ","397,894,974,245 ","27,108,328,500 ","-103,510,722,064 ","75,154,104,192 "
20,208444,제 28 기,20180330,"185,460,306,294 ","87,069,401,503 ","272,529,707,797 ","38,261,093,353 ","4,083,883,824 ","42,344,977,177 ","10,165,802,000 ","186,112,943,153 ","230,184,730,620 "
21,145686,제 69 기,20180329,"38,226,863,279 ","63,047,945,871 ","101,274,809,150 ","34,077,566,702 ","847,183,825 ","34,924,750,527 ","14,000,000,000 ","35,720,074,935 ","66,350,058,623 "
22,526836,제 16 기,20180330,"91,054,392,370 ","152,174,566,114 ","243,228,958,484 ","81,706,267,952 ","10,603,207,349 ","92,309,475,301 ","11,644,766,500 ","78,133,829,317 ","150,919,483,183 "
23,225159,제 36 기,20180314,"98,229,088,112 ","327,206,334,464 ","425,435,422,576 ","299,279,307 ",,"299,279,307 ","8,115,052,500 ","315,328,592,335 ","425,136,143,269 "
24,1110076,제 3 기,20180402,"4,790,062,408 ","16,891,398,142 ","21,681,460,550 ","12,119,187,653 ","731,246,254 ","12,850,433,907 ","905,752,000 ","-50,445,721 ","8,831,026,643 "
25,139685,제 38 기,20170928,"18,002,601,958 ","64,378,638,436 ","82,381,240,394 ","15,669,243,754 ","1,736,942,682 ","17,406,186,436 ","7,990,000,000 ",,"64,975,053,958 "
26,120872,제 65 기,20170928,"145,918,081,037 ","99,506,618,512 ","245,424,699,549 ","16,082,705,354 ","3,916,491,506 ","19,999,196,860 ","4,150,000,000 ","112,299,864,910 ","225,425,502,689 "
27,587457,제 24 기,20180614,"154,849,074,500 ","28,558,642,984 ","183,407,717,484 ","109,165,240,070 ","8,898,710,000 ","118,063,950,070 ","17,414,919,000 ","7,731,788,583 ","65,343,767,414 "
28,138446,제 39 기,20180402,"84,736,038,888 ","124,874,907,204 ","209,610,946,092 ","14,779,154,475 ","27,780,247,670 ","42,559,402,145 ","16,443,768,000 ",,"167,051,543,947 "
29,150165,제 32 기,20180402,"13,456,501,786 ","43,311,847,032 ","56,768,348,818 ","24,408,458,502 ","6,234,538,423 ","30,642,996,925 ","10,739,017,000 ","-16,896,209,575 ","26,125,351,893 "
30,540641,제 13 기,20180402,"25,191,506,452 ","185,985,807,983 ","211,177,314,435 ","62,167,522,593 ","23,419,900,890 ","85,587,423,483 ","13,762,255,000 ","64,900,731,074 ","125,589,890,952 "
31,203315,제 31 기,20180402,"55,998,485,580 ","321,323,796,843 ","377,322,282,423 ","117,272,498,280 ","17,302,485,372 ","134,574,983,652 ","57,034,491,000 ","9,733,837,326 ","242,747,298,771 "
32,125965,제 30 기,20180402,"69,674,454,233 ","17,805,373,754 ","87,479,827,987 ","4,791,167,772 ","30,000,000 ","4,821,167,772 ","4,750,000,000 ","60,542,443,259 ","82,658,660,215 "
33,815369,제 8 기,20180402,"75,648,924,213 ","81,932,052,109 ","157,580,976,322 ","16,435,613,304 ","3,254,669,772 ","19,690,283,076 ",,,"137,890,693,246 "
34,440712,제 20 기,20180803,"9,994,557,842 ","16,878,506,172 ","26,873,064,014 ","3,161,942,764 ","352,703,098 ","3,514,645,862 ","4,612,684,500 ","-9,740,379,537 ","23,358,418,152 "
35,102113,제 41 기,20180330,"125,062,665,559 ","171,846,418,665 ","296,909,084,224 ","93,894,859,887 ","12,170,122,056 ","106,064,981,943 ","20,198,182,500 ","133,022,973,708 ","190,844,102,281 "
36,569646,제 14 기,20181130,"132,841,859,914 ","29,311,618,290 ","162,153,478,204 ","111,495,057,457 ","15,523,354,000 ","127,018,411,457 ","6,092,233,000 ","17,754,835,580 ","35,135,066,747 "
37,127158,제 51 기,20180402,"7,755,325,906 ","23,571,481,428 ","31,326,807,334 ","5,349,423,478 ","5,303,964,133 ","10,653,387,611 ","22,393,769,000 ","-23,182,751,424 ","20,673,419,723 "
38,192499,제 27 기,20180404,"183,223,905,177 ","213,908,208,572 ","397,132,113,749 ","197,488,663,660 ","24,778,281,469 ","222,266,945,129 ","45,974,044,500 ","94,558,807,846 ","174,865,168,620 "
39,204208,제 33 기,20180330,"41,229,717,740 ","180,583,250,091 ","221,812,967,831 ","99,495,383,642 ","31,242,466,850 ","130,737,850,492 ","58,362,738,500 ","-18,691,777,130 ","91,075,117,339 "
40,418379,제 19 기,20180604,"29,005,054,557 ","11,802,722,695 ","40,807,777,252 ","11,356,771,361 ","1,041,999,230 ","12,398,770,591 ","16,974,678,500 ","-15,751,601,367 ","28,409,006,661 "
41,153375,제 36 기,20180330,"275,317,796,143 ","178,692,544,057 ","454,010,340,200 ","28,685,098,542 ","6,153,817,222 ","34,838,915,764 ","13,250,000,000 ","384,741,034,743 ","419,171,424,436 "
42,674498,제 18 기,20180402,"46,961,353,448 ","489,283,418,919 ","536,244,772,367 ","37,343,445,115 ","18,826,864,444 ","56,170,309,559 ","21,418,409,000 ","169,570,716,352 ","480,074,462,808 "
43,124726,제 52 기,20180402,"355,056,895,467 ","277,172,412,234 ","632,229,307,701 ","93,174,725,619 ","12,953,310,577 ","106,128,036,196 ","49,756,205,000 ",,"526,101,271,505 "
44,393469,제 31 기,20191108,"9,231,384,072 ","65,424,494,041 ","74,655,878,113 ","33,354,679,342 ","137,500 ","33,354,816,842 ","5,289,936,000 ","-12,065,889,009 ","41,301,061,271 "
45,149804,제 63 기,20180406,"84,536,097,353 ","274,664,322,986 ","359,200,420,339 ","224,471,567,348 ","14,617,565,837 ","239,089,133,185 ","49,689,816,000 ",,"120,111,287,154 "
46,305297,제 31 기,20180329,"248,312,128,651 ","53,607,248,134 ","301,919,376,785 ","37,222,203,410 ","3,312,463,727 ","40,534,667,137 ","7,787,276,000 ","183,838,119,692 ","261,384,709,648 "
